Cognate_ID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
67_brotherelder	a + d aˀ	a + j ɛˀ	a + d a	a + j a	g ə + b ɛˀ	a + b ɛˀ	a + b u	a + b u
68_brotherinlaw	a + l ɛi	a + r ɛː	a + l ej~i/ei	a + r aː	a + r ɛː	a + r ɛː	a + r aː	a + r aː
69_brotheryounger	ɔ + n ɔu	a + n uː	ɔ + n ɔu		a + n uː	a + n uː	a + n uː	a + n uː
6_ablative	l ɔˀ	l ɔ	l ɔ	l ɔ	l ɔ	r ɔ	l ɔ	l ɔ
70_buckwheatbitter	ʑ a + m a	dʑ ə + m uː	j ɛ s + m a	dz a + m	dʑ u + m	dʑ ə + m uː	dz ə + m uː	dʑ ə + m uː
71_buckwheatsweet	g u n + ts u n	kʰ + tɕ i ŋ	g u n + ts u n	dz a m + g ə + ts i ŋ	kʰ i ŋ + tɕ i ŋ	kʰ a n + tɕ i ŋ	g ə + ts i n	g ə + tɕ i n
72_buffalo	b r u ŋ	s ə + dʑ eː	b u ŋ	ʂ ə + ɖʐ eː	dʑ~z/z ə + z eː	z eː	z ə + g yː	z ə + g eː
73_bugun				ʂ ə + l u ŋ		s u + l u ŋ	s ə + l u ŋ	s u + l u ŋ
74_burnvi	h ai	h ɛ	h ai	h a	h ɛ	h ɛ	h a	h a
75_burnroastvt	d i		d i	r iː	r iː		r iː	
76_butter	m a ɹ	m ɐ̃ː	m a l	m ɐ̃ː	m ɔ̃ː	m ɔ̃ː	m ɔ̃ː	m ɔ̃ː
77_butterfly	p ɛ m + p i + l i ŋ	tɕʰ a m + pʰl~bl/pʰ l ɔ̃ː		tsʰ a m + pʰ l ɔ̃ː	tɕʰ a m + pʰ l ɔː	tɕʰ a m + pʰ ɔ ɹ	ts~ʨ/ʨ a m + p y ŋ	tɕʰ a m + p l i ŋ
78_buy	ɕ ɛi	tɕʰ ɛː~aː/aː	ɕ ei	tsʰ aː	tɕʰ ɛː	tɕʰ ɛː	ʦʰ~tɕʰ/tɕʰ aː	tɕʰ aː
79_callfor	kʰ a ɹ	kʰ ɛ (n)/n	kʰ a l	kʰ ɛ (n)/n	kʰ a n	kʰ a~ɛ/a (n)/n	kʰ a n	kʰ a n
7_abovetop	tɕʰ a ŋ	a + tɕʰ ɔ̃ː (ŋ)/ŋ	tɕʰ a ŋ	a + tsʰ ɔ̃ː (ŋ)/ŋ	a + tɕʰ ũː (ŋ)/ŋ			
80_cane	kʰ i	tɕʰ i	kʰ i	tɕʰ i	tɕʰ i	tɕʰ i	kʰ i	kʰ i
81_caphat	kʰ ɔ + tʰ ɔ ŋ	kʰ + tʰ u ŋ	kʰ ɔ + tʰ u~ɔ/ɔ ŋ	g ə + tʰ u ŋ	kʰ + tʰ u ŋ	kʰ a n + tʰ u ŋ	g ə + tʰ u ŋ	kʰ + tʰ u ŋ
82_carry	b u	b yː	b u	b yː	b yː	b yː	b yː	b iː
83_cat	ɲ a ŋ + b u	n a m + b yː	ɲ a ŋ + b u	n a m + b yː	n a m + b yː	n a m + b yː	ɲ a m + b yː	ɲ a m + b iː
84_cattlecow	ɕ a	h uː	ɕ a	ʂ uː	h uː	h uː	s + p uː	s + p uː
85_cave	kʰ i p	tɕʰ eˀ	kʰ i p	ʈʂʰ eˀ	tɕʰ eˀ	tɕʰ eˀ	kʰ eˀ	kʰ eː
86_charcoal	kʰ r ɔi + s u	b a + kʰ ə + m uː	b ɛ ŋ + kʰ a n	b ə + kʰ ɐ̃ː	b a + kʰ ɔ̃ː	m ə + kʰ ɔ̃ː	b a + kʰ ɔ̃ː	b a + kʰ ɔ̃ː
87_chest	m ɔu		p a ŋ + b u	m a + w ɔ	m u + w ɔ	m ou	m ə + j au	
88_chew	k a	k aˀ	k a	k aˀ	k a	k a	k u	
89_chicken	h ɔː~u/ɔː + k i	pʰ + tɕʰ ɛː	h w a + kʰ i	b ə + tɕʰ aː	pʰ + tɕʰ ɛː	pʰ + tɕʰ ɛː	b ə + ʨʰ~cʰ/ʨʰ aː	pʰ + tɕʰ aː
8_achieveobtain	m a n		m a n	m ɐ̃ː	m ɔ̃ː	m ɔ̃ː	m ɔ̃ː	
90_child	a + n u	a + n yː	ɕ a + l a k	a + n yː	a + n yː	a + n yː	n ə + n yː	n ə + n u
91_chili	m a ŋ	m ɔ̃ː	m a ŋ	m ɔ̃ː	m ũː	m ɔ ŋ	m ɔ ŋ	m ɔ ŋ
92_chin	g a m + tʰ u ŋ	n y + j ɔ + kʰ uː	h i n + k u l~ɹ/l	n y + j u + kʰ uː	n ə + w u	m a + w u	g a m + d eː	g a m + d eː
93_civetorspottedwildcat	ʥ a ŋ + kʰ ɛ n + ɲ a ŋ + b u	s a ŋ + g ə + d u	ʥ a ŋ + kʰ a	s a ŋ + g ə + d u	ts i ŋ + g ə + d uˀ	s a ŋ + d u	s a ŋ + g ə + t u	s a ŋ + k ə + t u
94_civetpalm	z i k + ʨ u ŋ		z i k	s + n ø n	s u + n ɔ m		z i k + ʨ u ŋ	s ə + ɲ ɔ m
95_clean	u + ts a ŋ		u + ts a ŋ	a + s a n		a + s a m	a + s a m	
97_cliffravine	ɕ a k	tɕʰ ɐ k	ɕ a k~p/k	tsʰ ɐ k	tɕʰ a k	tɕʰ a k	tsʰ~ʨʰ/ʨʰ a k	tɕʰ a k
98_clitoris	ʥ ɛi + ʨ i	j ɔ + h ɔ + ʥ y + l ø		d a + p ɛː	p eː	p eː	tɕ ɔ (p)/p + b~p/b eː	tɕ ɔ p + b eː
99_clothing	w a t	j ɐˀ	w a t	j ɐˀ	j ɔˀ	j ɔˀ	j ɔˀ	j ɔ
9_aconite	s i	s ɛː	s i	s aː	s ɛ	s ɛˀ	s aː	s aː
