Cognate_ID	Kagazli1	Kagazli2	Kagazli3	Kagazli4	Kagazli5	Kagazli6	Kagazli7	Karaushan1	Karaushan2	Karaushan3	Karaushan4	Kiakmuz1	Kiakmuz2	Kiakmuz3	Kibarskoon	Kikulanak1	Kikulanak2	Kikulanak3	Kikulanak4	Kikulanak5	Kiorday1	Kiorday2	Kiorday3	Kiorday4	Kitamga	Kkhalqabad1	Kkhalqabad2	Kkhalqabad3	Kkkokdarya1	Kkkokdarya2	Kkkokdarya3	Kkkokdarya4	Kkshege1	Kkshege2	Kkshege3	Kkshege4	Tagalyk	Tkamangaron1	Tkamangaron2	Tkamangaron3	Tkamangaron4	Tkaptarhona1	Tkaptarhona2	Tkaptarhona3	Tkaptarhona4	Tkaptarhona5	Tnavdi1	Tnavdi2	Tnavdi3	Tnimich1	Tnimich2	Tnimich3	Tnimich4	Tnovmetan1	Tnovmetan2	Tnushor1	Tnushor2	Tnushor3	Trishtan1	Trishtan2	Trishtan3	Tshink1	Tshink2	Tshink3	Turmetan1	Turmetan2	Turmetan3	Turmetan4	Tzarmanak1	Tzarmanak2	Uhitoy1	Uhitoy2	Uhitoy3	Unovmetan3	Usoymahalla1	Usoymahalla2	Usoymahalla3	Uurtoqqishloq1	Uurtoqqishloq2	Uurtoqqishloq3	Uurtoqqishloq4	Uzarmanak3	Uzarmanak4	Ydugova1	Ydugova2	Ysafedorak1	Ysafedorak2	Ysafedorak3
mouth	a w ʊ z̥	a w ə z̥	a w z̥	a w ɨ z̥	a w u z̥	a w ə z̥	a w z̥	a w ɨ z	a w ʊ z	a w ɨ z	a w ʊ z	ɔː z̥	ɔː z̥	ɔː z̥	ɔː z̥	ɔː z̥	ɔː z̥	ɔː z̥	ɔː z̥	ɔː z̥	ɔː z	ɔː z	ɔː z	l a p	ɔː z	a w ɨ z	a w ɨ z	a w ʊ z	a ɣ ɜ z̥	a w ɨ z̥	a ɣ ɨ z̥	a w ɨ z̥	a w ɨ z	a w ɨ z	a w ɨ z	a w ɨ z	d a h ɔ n	d a h ɔ n	d a h ɔ n	d a h a n	d a h a n	d a h a n	d a h a n	d a h a n	d a h a n	d a h a n	d a h a n	d a h ɔ n	d a h ɔ n	d a h ɔ n	d a h ɔ n	d a h ɔ n	d a h a n	d a h a n	d a h a n	d a h ɔ n	d a h ɔ n	d a h a n	d a h a n	d a h ɔ n	d a h a n	d a h ɔ n	d a h ɔ n	d a h ɔ n	d a h ɔ n	d a h ɔ n	d a h ɔ n	d a h a n	d a h a n	d a h a n	a w ɨ z	a w ɨ z	a w ɨ z	ɔ ɣ ə z̥	ɔ ɣ ɨ z̥	ɔ ɣ ɜ z̥	ɔ ɣ ɨ z̥	ɔ ɣ ə z̥	ɔ ɣ ə z̥	ɔ ɣ ə z	ɔ ɣ ə z	ɔ ɣ ə z	ɔ ɣ ə z̥	r a x	r a x	r a x	r a x	r a x
nail	t ɨ r n a q	t ɨ r n a q	t ə r n a q	t ɨ r n a q	t ɨ r n a q	t ɨ r n a q	t ɨ r n a q	t ɨ r n ɒ q	t ɨ r n ɒ q	t ɨ r n ɒ q	t ɨ r n ɒ q	t ɨ r n a q	t ɨ r n a q	t ɨ r n a q	t ɨ r m ɒ q	t ɨ r m ɒ q	t ɨ r n a q	t ɨ r m a q	t ɨ r m a q	t ɨ r n a q	t ɨ r n ɒ q	t ɨ n d a q	t ɨ n d a q	t ɨ r m ɒ q	t ɨ r m a q	t ɨ r n ɒ q	t ɨ r n ɒ q	t ɨ r n ɒ q	t ɨ r n a q	t ɨ r n ɒ q	t ɨ r m ɒ q	t ɨ r n ɒ q	t ɨ r n ɒ q	t ɨ r n ɒ q	t ɨ r n ɒ q	t ɨ r n ɒ q	n ɔ x u n	n ɔ x u n	n ɔ x ʊ n	n ɔ x u n	n ɔ h u n	n ɔ x u n	n ɔ x u n	n o x u n	n ɔ x u n	n ɔ x u n	n o x u n	n o x u n	n ɔ x u n	n ɔ x u n	n ɔ x u n	n ɔ x u n	n ɔ x u n	n ɔ x u n	n ɔ x u n	n ɔ x u n	n ɔ x u n	n ɔ x u n	n ɔ x u n	n ɔ x ʊ n	n ɔ x ə n	n ɔ x n̩	n ɔ x ʊ n	n ɔ x ʊ n	n ɔ x ʊ n	n ɔ x ɔ n	n ɔ x n̩	n ɔ x n̩	n ɔ x u n	n u x u n	t ɨ r n ɒ q	t ɨ r n ɒ q	t ɨ r n ɒ q	t ɨ r n ɔ q	t ɨ r n ɒ q	t ɨ r n a q	t ɨ r n a q	t ə r n ɔ q	t ə r n ɒ q	t r̩ n ɔ q	t r̩ n ɔ q	n ɔ x u n	t ɪ r n ɔ q	n a x n a	n a x n a	n a x n a	n a x n a	n a x n a
name	j i s ə m	a t	a t ɜ	a t	a t ɜ	a t ə	a t ə	a t	a t	a t	a t	a t	a t	a t	a t	ɒ t	a t	a t	a t	a t	ɒ t	ɒ t	ɒ t	a t ɨ	a t	a t	i s m	a t	a t	a t	a t ɨ	a t	i s m	a t	a t	a t	n ɔ m	n ɔ m	n ɔ m	n ɔ m	n ɔ m	n o m	n ɔ m	n ʊ m	n ɔ m	n u m	n ɔ m	n ɔ m	n ɔ m	n ɔ m	n ɔ m	n ʊ m	n u m	n ɔ̃ m	n ɔ m	n ɔ m	n ɔ m	n u m	n ɔ m	n ɔ m	n ɔ m	n ɔ m	n ɔ m	n ɔ m	n ɔ m	n ɔ m	n ɔ m	n ɔ m	n ɔ m	n ɔ m	a t	a t	a t	i s m	i s m	n ɔ m	i s ə m	i s m̩	w ɔ t	i s m̩	w ɔ t	i s m	i s ə m	n u m	n ɔ m	n u m	n u m	
narrow	t a r	ʒ i ŋ ʃ kʲ e	t a r	t a r	t a r	t a r	ʒ i ŋ ʃ kʲ e	t a r	t a r	t a r	t a r	i tʃ k ɛ	i tʃ k ɛ	i tʃ k ɛ	t a r	k ʊː ʃ	k uː ʃ	k uː ʃ	t a r	t a r	t ɔ r	t ɒ r	t a r	t a ʃ	i tʃ k ɛ	ʒ i ŋ i ʃ kʲ e	ʊ z ʊ n	ʒ i ŋ i ʃ kʲ e	t a r	t a r	t a r	t a r	ʒ i ŋ ʃ k e	ʒ i ŋ ʃ k e	t a r	u z u n	t a ŋ	b ɔ r i k	t a ŋ k	b ɔ r i k	b ɔ r i k	t a n k	t ɔ r	b o rʲ i k	k a m	k a m	t a ŋ̊	b ɔ r i k	b ɔ r i k	b ɔ r i k	b ɔ r i k	t a ŋ	b ɔ r i k		p ɔ r i k	b ɔ r i k	p ɔ r i k	b ɔ r i k	t a ŋ	t ɔ r	k u t ɔ h	t a ŋ	t a ŋ	t a ŋ	b oˑ r i k	b oˑ r i k	t a ŋ̊	k a l t a	b o r i k	k a m b a r	t a r	t a r	t a r	i n g i tʃ k a	t ɔ r	t ɔ r	i ŋ i tʃ k ɐ	q s̩ k a	q s̩ k a	i n g i tʃ k a	i n g i tʃ k a	t ɔ r	t ɔ r	h ɔ r d	t a n k	t a n k	t a n k	t a n k
near	ʒ a q ə n	ʒ ɨ l t r a q	ʒ a χ ɪ n	ʒ a x ə n	ʒ a q ə n	ʒ a q ə n	ʒ a q ə n	ʒ a χ ə n	ʒ a χ ə n	ʒ a χ ə n	ʒ a q ə n	dʒ a q ɨ n	dʒ a q ɨ n	dʒ a q ɨ n	dʒ a q ɨ n	dʒ a q ɨ n	dʒ a q ɨ n	dʒ a q ɨ n	dʒ a q ɨ n	dʒ a q ɨ n	ʒ a q ɨ n	dʒ a q ɨ n	dʒ a q ɨ n	dʒ a q ɨ n	dʒ a q ɨ n	ʒ a χ ə n	ʒ a χ ə n	ʒ a χ ə n	dʒ a q ə n	ʒ a q ə n	ʒ a q ə n	ʒ a q ə n	ʒ a χ ə n	ʒ a χ ə n	ʒ̊ a χ ə n	ʒ a χ ə n	n a z d i k	n a z d i k	n a z d i k	n a z d i k	n a z d i k	q a r i b̥	q a r i b̥		q a r i b̥	q a r i b̥	q a r i b̥	q a r i b̥	q a r i b̥	q a r i b̥	n a z d i k	q a r i b̥	q a r i p	n a z i k	n a z i k	n a z d i k	n a z d i k	q a r i b̥	n a z d i k	n a z d i k	n a z d i k	n a z d ɪ k	n a z d ɪ k	n a z d ɪ k	n a z d ɪ k	n a z d ɪ k	n a z d ɪ k	n a z d ɪ k	n a z i k	n a z i k	dʒ a q ə n	dʒ a q ə n	dʒ a q ə n	j a q i n	j ɒ q ɪ n	j ɒ q ə n	j a q ə n	j a q ə n	j a q ə n	j a q ə n	j a q ɪ n	j a q i n	j a q ɪ n	n a z d i k	n a z d i k	n a z d i k	n a z d i k	
neck	m ɔ j ɪ n	m ɔ j ɪ n	m ɔ j i n	m ɔ j ɪ n	m ɔ j i n	m ɔ j i n	m ɔ j i n	m ɔ j ɪ n	m ɔ j ɨ n	m ɔ j ɨ n	m ɔ j ɨ n	m ɔ j ɨ n	m ɔ j ɨ n	m ɔ j ɨ n	m ɔ j ɨ n	m ɔ j ʉ n	m ɔ j ɨ n	m ɔ j ɨ n	m ɔ j ɨ n	m ɔ j ɨ n	b ɔ j ɪ n	b ɔ j ɪ n	b ɔ j ɪ n	m ɔ j ɪ n	m ɔ j ɨ n	m ɔ j ɪ n	m ɔ j ɪ n	m ɔ j ɪ n	m ɔ j ɨ n	m ɔ j ɨ n	m ɔ j ɨ n	m ɔ j ɨ n	m ɔ j ɪ n	m ɔ j ɪ n	m ɔ j ɪ n	m ɔ j ɪ n	g a r d ɔ n	g a r d a n	g a r d a n	g a r d a n		g a r d a n	g a r d ɔ n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n		g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	g a r d a n	m ɔ j ɪ n	m ɔ j ɪ n	m ɔ j ɪ n	b ʉ j i n	b u j i n	b u j i n	b ʊ j i n	b ʊ j i n	b ʊ j i n	b ʊ j i n	b ʊ j i n	b ʉ j i n	b u j i n	k a m a	k a m a	k a m a	k a m a	k a m a
new	ʒʲ a ŋ a	ʒʲ a ŋ a	ʒ a ŋ a	ʒ a ŋ a	ʒ a ŋ a	ʒ a ŋ a	t a z ɜ	t a z a	t a z a	ʒ a ŋ a	ʒ a ŋ a	dʒ a ŋ ɐ	dʒ a ŋ ɐ	dʒ a ŋ ɐ	dʒ a ŋ ə	dʒ a ŋ ə	dʒ a ŋ ɨ	dʒ a ŋ ə	dʒ a ŋ ɐ	dʒ a ŋ ɨ	dʒ a ŋ a	dʒ a ŋ a	dʒ a ŋ a	dʒ a ŋ a	dʒ a ŋ ɐ	t a z a	t a z a	t a z a	ʒ a ŋ a	ʒ a ŋ a	ʒ a ŋ a	ʒ a ŋ a	t a z a	t a z a	t a z a	t a z a	n a w	n a w	n a ɔ	n a ɔ	n a ɔ	n a u	n ɔ v	n a w	n a w	n a w	n a v	n a v	n a v	n a w	n a w	n a w	n a w	n a w	n a w	n a w	n a w	n a w	n a w	n a w	n a w	n a w	n a v	n a v	n a w	n a v	n a w	n a w	n a w	n a w	t a z a	t a z a	t a z a	j a ŋ i	j a ŋ i	j a ŋʲ ɪ	j a ŋ ɪ	j a ŋ ɪ	j a ŋ ɪ	j a ŋ e	j a ŋ e	j a ŋ i	j a ŋ i	n a w	n a v a	n a v a	n a v a	
night	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t y n	t y n	t y n	t y n	t y n	t y n	t y n	t y n	t y n	t ʉ n	t y n	t y n	t y n	t y n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	t ʉ n	ʃ a b	ʃ a b̥	ʃ a b̥	ʃ a p	ʃ a b̥	ʃ a u	ʃ a b	ʃ a w	ʃ a w	ʃ a ɔ	ʃ a v	ʃ a v	ʃ a v	ʃ a p	ʃ a b	ʃ a β	ʃ a v	ʃ a p	ʃ a b̥	ʃ a b	ʃ a b	ʃ a w	tʃ h a b̥	ʃ a b̥	t ɔ r i k ɪ	ʃ a p	ʃ a b	ʃ a p	ʃ a b	ʃ a b	ʃ a b̥	ʃ a b̥	ʃ a b̥	ʃ a b̥	t ʉ n	t ʉ n	t ʉ n	k e tʃ q ʊ r ʊ n	t u n	t ʉ n	t ʉ n	ɔ q ʃ ɔ n	ɔ q ʃ ɔ n	ɔ q ʃ ɔ n	ɔ q ʃ ɔ n	t u n	t u n	x i ʃ a p	v j ɔ r a	x ɪ ʃ a p	x ʃ a p	
nose	m ʊ r ə n	b u r u n	m ʊ r ʊ n	m ʉ r ʉ n	m ʉ r ə n	m ʊ r ə n	m ʊ r ə n	m ʉ r ɨ n	m ʊ r ʊ n	m ʉ r ʉ n	m ʊ r ʊ n	m u r u n	m u r u n	m u r u n	m u r u n	m u r u n	m u r u n	m u r u n	m u r u n	m u r u n	b u r u n	b u r u n	b u r u n	m u r u n	m u r u n	m ʊ r ʊ n	m ʊ r ʊ n	m ʊ r ʊ n	m ʊ r ə n	m ʊ r ə n	m ʊ r ə n	m ʊ r ʊ n	m ʊ r ʊ n	m ʊ r ʊ n	m ʊ r ɨ n	m ʊ r ʊ n	b i n d i	b i n d i	b i n d a	b i n d a	b i n d a	b ə nː i	b i nː i	b ə nʲː i	b i nʲ i	b ɛ nː i	b i n iː	b i n iː	b i n iː	b i n iː	b i n iː	b i n iː	b ə n iː	b i n d i	b i n d i	b i n iː	b i n iː	b ə n iː	b i nː ə	b iˑ n i	b r̩ n ə	b ɪ n ɪː	b ɪ n eː	b i n iː	b i nː i	b i n eː	b i nː i	b i nː iː	b i n d i	b i n d i	m ʉ r ʉ n	m ʊ r ə n	m ʊ r ə n	b u r u n	b u r u n	b u r u n	b u r u n	b u r u n	b u r u n	b ʊ r ʊ n	b ʊ r ʊ n	b u r u n	b u r u n	n a j s	n e s	n e s	n a j s	n a j s
not	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	dʒ ɔ q	dʒ ɔ q	dʒ ɔ q	dʒ ɔ q	dʒ ɔ q	dʒ ɔ q	dʒ ɔ q	dʒ ɔ q	dʒ ɔ q	dʒ ɔ k	dʒ ɔ k	dʒ ɔ k	dʒ ɔ k	dʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ ɔ q	ʒ̊ ɔ q	ʒ ɔ q	n e	nʲ e s	n e	nʲ e	n e	nʲ e s t	nʲ e s t	nʲ e s t	nʲ e s	nʲ ɛ	n e	n e	n e z d	n e	n e s t	n e s t	n e s t	n e	n e	n e	n e s t	n e	n e	nʲ ɛ s t	nʲ e	n ɪ s t	n e	n ɪ s t	n e s t	n e	n e s t	n ə ʃ ə	n e	n e	dʒ ɔ q	j ɒ q	dʒ ɔ q	j ɔ q	j ɔ q	j ɔ q	j ɔ q	j ɔ q	j ɔ q	j ɔ q	j ɔ q	j ɔ q	j ɔ q	nʲ i s t	n aː	n a	n aː	n aˑ
old	k w ø nʲ ɪ	k ø nʲ ɪ	k w ø nʲ ɪ	k ø nʲ ɪ	k w ʊ nʲ e	k w ø nʲ e	j e s k ɪ	k ʊ nʲ ɪ	g u nʲ e	j ɪ s k ə	k w ø nʲ e	q a r ɨ	j ɪ s k ɪ	j ɪ s k ɪ	j ɪ s kʲ ɪ	j ɛ s k ɪ	j ɛ s kʲ e	j ɛ s k ɪ	j ɪ s k ɪ	e s k ɪ	j ɛ s kʲ ɪ	j ɛ s kʲ ɪ	ɛ s k ɪ	ɪ s k ɪ	j e s kʲ e	g ʊ nʲ e	j i s kʲ e	g ʊ nʲ ɪ	k ø n e	g w ʊ nʲ ɪ	k w ʊ nʲ ɪ	j e s k ɨ	g ʊ nʲ ɪ	g ʊ nʲ ɪ	g ø nʲ ɪ	g ø nʲ ɪ	k ʉ h n a	k ø h n a	k ø h n a	k ø h n a	k ø h n a	k ø h n a	k u h n a	k ø h n a	k ø h n a	k ə h n a	k u h n a	k u h n a	k u h n a	k u h n a	k u h n a	k ə h n a	k ə h n a	k ʉ n a	k ʉ j n a	k ə h n a	k ʊ h n a	k ə h n ɐ	k u h n a	k u h n a	k u h n a	k ʉ h n a	k ʉ n a	k ʉ h n a	k ʉ h n a	k ʉ n a	k ʉ h n a	k ʉ h n a	k ʉ h n a	k ʉ j n a	g ʊ n e	g ʊ nʲ e	j i s kʲ ə	e s k i	ɛ s k i	ɛ s kʲ ɪ	ɛ s kʲ ɪ	k ə h n a	j e s k ɪ	j ɪ s k ɪ	j ɪ s k ɪ	ɪ s k i	ɪ s k i	k u h n a	k ʉ h n a	k u h n a	k u h n a	
one	b ɪ r	b r ɪ w	b ɪ r ɪ w		b r ɪ w	b r ɪ w	b ɪ r	b ə r	b ə r	b ə r	b ə r	b i r	b i r	b i r	b i r	b i r	b i r	b i r	b i r	b i r	b ɪ r	b ə r	b ɪ ʃ	b i ʃ	b i r	b ə r	b ə r	b ə r	b ə r	b ə r	b ə r	b ə r	b ə r	b ə r	b ə r	b ə r	j a k	j a k	j a k	j a k t a	j a k	j a k	j a k	j a k	j a k	j a k	j a k	j a k t ə	j a k t ɐ	j a k	j a k	j a k	j a k	j a k t a	j a k	j a k	j a k	j a k	j a k	j a k	j a k t ə	j a k	j a k t a	j a k	j a k	j a k	j a k t ɒ	j a k	j a k t a	j a k	b ɪ r	b e r	b ə r	b ɪ r	b ə r	b ə r	b ə r	b ɪ r	b ɪ r	b ɪ r	b ɪ r	b ɪ r	b ə r	iː	iː	iː	iː	iː
other	b ɒ s q a	b a s q a	b a s x a	b a s q a	b a s q a	b a s q a	b a s q a	b a s q a	b a s χ a	b a s χ a	b a s q a	b a ʃ q a	b a ʃ q a	b a ʃ q a	b a s q a	b a ʃ q a	b a ʃ q a	b a ʃ q a	b a ʃ q a	b a ʃ q a	b ɒ ʃ k a	b ø l ø k	b ɒ ʃ k a	b ɒ ʃ q a	b a ʃ q a	b a s q a	b a s χ a	b a s χ a	b ɒ s q a	b a s q a	b a s q a	b a s χ a	b a ʃ q a	b a s χ a	b a s χ a	b a s χ a	d i g a r	d i g a r	d i g a r	d i g a r	d i g a r	d i g a ʃ	d i g a r	d i g a r	d i g a r	d i g a ʃ	d i g a r	d i g a r	d i g a r	d i g a r		d i g a r	d ə g a r	d i g a r		d i g a r	d i g a r	d i g a r	d i g a r	d i g a r		d i g a r	d i g a r	d i g a r	d i g a r	d i g a r	d i g a r	d i g a r	d i g i ʃ	d i g a	b a ʃ χ a	b a ʃ q a	b a ʃ χ a	b ɔ ʃ q a	b ɒ s q a	b ɒ s q a	b ɔ ʃ q a	b ɔ ʃ q a	b ɔ ʃ q a	b ɔ ʃ χ a	b ɒ ʃ q a	b ɔ ʃ q a	b o ʃ q a	d i g a r	a n i	a n i	a n i	a x t i
person	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	k i ʃ e	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	a d a m	i n s a n	a d a m	a d a m	i n s a n	a d a m	a d a m	a d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m z ɔ t	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	a d a m	a d a m	a d a m	ɔ d a m	i n s ɒ n	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m	ɔ d a m
rain	ʒ a ŋ b ɨ r	ʒ a ŋ b ɨ r	ʒ a ŋ b ə r	ʒ a ŋ b ɨ r	ʒ a ŋ b ə r	ʒ a ŋ b ə r	ʒ a ŋ b ə r	ʒ a w ɨ n	ʒ a ŋ ɣ ɨ r	ʒ a ŋ b ɨ r	ʒ a ŋ b ɨ r	dʒ aː n	dʒ aː n	dʒ aː n	dʒ aː n	dʒ a m g ɨ r	dʒ aː n	dʒ aː n	dʒ a m ɣ ɨ r	dʒ aː n	dʒ a ŋ g ɨ r	dʒ a m g ɨ r	dʒ a m ɣ ɨ r	dʒ a m g ɨ ʃ	dʒ aː n	ʒ a m ɣ ɨ r	ʒ a w ɔ n	ʒ a w ɔ n	dʒ a m ɣ ɨ r	ʒ a w ɨ n	ʒ a m ɣ ɨ r	ʒ a w ɨ n	ʒ a w ɔ n	ʒ a w ɔ n	ʒ̊ a w ɔ n	ʒ a m g ɨ r	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ɔ n	b ʊ r ʊ n	b ɔ r ɔ n	b ɔ r u n	b ɔ r ʊ n	b ɔ r ʊ n	b ɔ r u n	b ɔ r u n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ʊ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ʊ n	b ɔ r ɔ n	b ɔ r ʊ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ʊ n	b ɔ r ɔ n	b ɔ r ɔ n	b ɔ r ɔ n	dʒ a w o n	dʒ a w o n	dʒ a w ɔ n	j ɔ m ɣ ə r	j ɔ m ɣ ɪ r	j ɔ m g ɜ r	j ɔ m g ɜ r	j ɔ m ɣ ɪ r	j ɔ m ɣ ə r	j ɔ m ɣ ə r	j ɔ m ɣ ə r	j ɔ m ɣ ɪ r	j ɔ m ɣ ə r	b ɔ r ʊː n	b ɔ r ɔ n	b ɔ r ʊː n	b ɔ r ʊː n	
red	q ɨ z ɨ l	q ɨ z ɨ ɬ	q ɨ z ɨ ɬ	q ɨ z ɨ ɬ	q ɨ z ɨ ɬ	q ɜ z ɨ ɬ	q ɜ z ɜ ɬ	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	s ʉ r x	s u r x	s u r x	s u r x	s u r x	s ø r x	s u r x	s ø r x	s u r x	s r̩ x	s u r x	s ʉ r x	s u r x	s ʉ r x	s u r x	s ə r x	s ə r x	s u r x	s u r x	s ə r x	s ʊ r x	s ə r x	s y r x	s u r x	s y r x	s ʉ r x	s ʉ r x	s ʉ r x	s ʉ r x	s ʉ r x	s ʉ r x	s ʉ r x	s u r x	s u r x	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	q ɨ z ɨ l	s ʉ r x	s u r x	s u r x	s u r x	
right	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ̃ ŋ	w ɔ̃ ŋ	w ɔ̃ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	r ɔ s t	w ɔ ŋ	w ɔ ŋ	w ɔ ŋ	ʉ ŋ a	ɔ ŋ	w ɔ ŋ	w ɔ ŋ	w ʊ ŋ	w ʊ ŋ	w ʊ ŋ	ʊ ŋ	u ŋ	ʉ ŋ	r a s k a	r a s k a	r a s k a	r a s k a	
river	w ø zʲ e n	d a r j a	b ə l a q	w ø zʲ e n	w ø zʲ e n	w ø zʲ e n	k ʉ ɬ	d a r j a	w ø zʲ e n	w ø zʲ ɛ n	w ø zʲ ɛ n	d a r j a	s uː	d a r j a	d a r j a	s uː	d a r j a	d a r j a	d a r j a	d a r j a	d a r j a	s ɒ j	s ɒ j	s ɒ j	a r ɨ k	d a r j a	d a r j a	d a r j a	dʒ a p	t a r j a	t a r j a	d a r j a	d a r j a	t a r j a	d̥ a r j a	d a r j a	d a r j ɔ	d a r j ɔ	dʒ ɔ j	dʒ ɔ j	d a r j ɔ	d a r j ɔ	d a r j ɔ	k a n a l	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a j r ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	dʒ ʉ j	dʒ ʉ j	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a j r ɔ	d a r j ɔ	dʒ a p	d a r j a	d a r j a	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɒ	d a r j ɔ	d a j r ɒ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a r j ɔ	d a j r ɔ	d a j r ɔ	
